id,name,sex,religion,occupation,social_status,allegiance_last,allegiance_switched,intro_season,intro_episode,intro_time_sec,intro_time_hrs,dth_flag,dth_season,dth_episode,dth_time_sec,dth_time_hrs,censor_time_sec,censor_time_hrs,exp_season,exp_episode,exp_time_sec,exp_time_hrs,featured_episode_count,prominence,dth_description,icd10_dx_code,icd10_dx_text,icd10_cause_code,icd10_cause_text,icd10_place_code,icd10_place_text,top_location,geo_location,time_of_day,,,,,,
199,Hot Pie,1,9,2,2,9,1,1,10,30295,8.42,0,,,,,230800,64.11,8,64,200506,55.70,12,1.5000,,,,,,,,,,,,,,,,
200,Jaqen H'ghar,1,6,2,2,8,1,1,10,30403,8.45,0,,,,,230800,64.11,8,64,200398,55.67,18,2.2500,,,,,,,,,,,,,,,,
201,Dontos Hollard,1,9,2,2,8,2,2,11,31018,8.62,1,4,33,97796,27.17,97796,27.17,3,23,66779,18.55,6,0.7826,Shot with arrow in the head by crossbowmen on the orders of Petyr Baelish in a rowboat outside King's Landing,S01,Open wound of head,X99.8,Assault by other specified sharp object,Y92.82,Large area of water,2,1,2,,,,,,
202,Aggo 1,1,1,2,1,2,1,2,11,31689,8.80,0,,,,,230800,64.11,7,63,199112,55.31,1,0.1111,,,,,,,,,,,,,,,,
203,Kovarro,1,1,2,2,2,1,2,11,31801,8.83,0,,,,,230800,64.11,7,63,199000,55.28,7,0.7778,,,,,,,,,,,,,,,,
204,Eddison Tollett,1,9,2,2,3,1,2,11,31907,8.86,1,8,70,213789,59.39,213789,59.39,7,60,181883,50.52,33,3.8500,Stabbed to death by wights during the Battle of Winterfell,T01,Open wounds involving multiple body regions,Y36.6,"War operations involving fires, conflagrations and hot substances",Y92.0,Home,2,1,2,,,,,,
205,Craster,1,7,2,2,8,1,2,11,31991,8.89,1,3,24,72213,20.06,72213,20.06,2,14,40223,11.17,5,0.7143,Stabbed in the larynx by Karl Tanner inside Craster's Keep,S11,Open wound of neck,X99.0,Assault by knife,Y92.0,Home,1,1,2,,,,,,
206,Gilly,2,9,9,2,8,2,2,11,32137,8.93,0,,,,,230800,64.11,7,63,198664,55.18,27,3.0000,,,,,,,,,,,,,,,,
207,Cressen,1,3,1,2,8,1,2,11,32259,8.96,1,2,11,32685,9.08,32685,9.08,1,1,427,0.12,1,1.0000,Poisoned by himself with The Strangler trying to kill Melisandre in the War Room at Dragonstone,T65,Toxic effect of other and unspecified substances,X64,"Intentional self-poisoning by and exposure to other unspecified drugs, medicaments and biological substances",Y92.0,Home,1,1,2,,,,,,
208,Melisandre,2,2,1,2,8,2,2,11,32272,8.96,1,8,70,217387,60.39,217387,60.39,7,60,185116,51.42,29,3.3833,Succumbed to old age after removing her enchanted necklace following the Battle of Winterfell,R99,Other ill-defined and unspecified causes of mortality,,,,,2,1,1,,,,,,
209,Matthos Seaworth,1,2,2,2,8,1,2,11,32288,8.97,1,2,19,55906,15.53,55906,15.53,1,9,23619,6.56,4,0.4444,Killed by wildfire explosion at Blackwater Bay,T29,Burns of multiple body regions,Y36.6,"War operations involving fires, conflagrations and hot substances",Y92.82,Large area of water,2,1,2,,,,,,
210,Davos Seaworth,1,7,2,2,1,2,2,11,32288,8.97,0,,,,,230800,64.11,7,63,198513,55.14,42,4.6667,,,,,,,,,,,,,,,,
211,Selyse Baratheon,2,2,1,1,8,1,2,11,32290,8.97,1,5,50,148773,41.33,148773,41.33,4,40,116484,32.36,11,1.1000,Committed suicide by hanging herself from a tree in the forest near Winterfell,T71,Asphyxiation,X70.0,Intentional self-harm by hanging,Y92.84,Forest,2,1,1,,,,,,
212,Stannis Baratheon,1,2,1,1,8,1,2,11,32297,8.97,1,5,50,149498,41.53,149498,41.53,4,40,117202,32.56,24,2.4000,Beheaded by Brienne of Tarth in the forest near Winterfell,S18,Traumatic amputation at neck level,Y35.5,Legal execution,Y92.84,Forest,2,1,1,,,,,,
213,Alton Lannister,1,9,2,1,4,1,2,11,33149,9.21,1,2,17,50822,14.12,50822,14.12,1,7,17674,4.91,3,0.4286,Bludgeoned to death (head) by Jamie Lannister at a campsite in the Westerlands,S06,Intracranial injury,Y36.4,War operations involving firearm discharge and other forms of conventional warfare,Y92.86,Other specified countryside,2,1,2,,,,,,
214,Marei,2,9,2,2,8,1,2,11,33619,9.34,0,,,,,230800,64.11,7,63,197182,54.77,8,0.8889,,,,,,,,,,,,,,,,
215,Daisy,2,9,2,2,8,1,2,11,33621,9.34,0,,,,,230800,64.11,7,63,197180,54.77,3,0.3333,,,,,,,,,,,,,,,,
216,Podrick Payne,1,9,2,2,1,2,2,12,35281,9.80,0,,,,,230800,64.11,7,62,195520,54.31,35,3.9516,,,,,,,,,,,,,,,,
217,Yara Greyjoy,2,5,2,1,5,2,2,12,35809,9.95,0,,,,,230800,64.11,7,62,194992,54.16,16,1.8065,,,,,,,,,,,,,,,,
218,Balon Greyjoy,1,5,1,1,5,1,2,12,35914,9.98,1,6,52,157022,43.62,157022,43.62,5,41,121109,33.64,4,0.4878,Thrown from a suspension bridge at Pyke by his brother Euron Greyjoy,T04,Crushing injuries involving multiple body regions,Y01,Assault by pushing from high place,Y92.0,Home,2,1,2,,,,,,
219,Salladhor Saan,1,9,2,2,8,1,2,12,36170,10.05,0,,,,,230800,64.11,7,62,194631,54.06,3,0.3387,,,,,,,,,,,,,,,,
220,Brienne of Tarth,2,3,2,1,1,2,2,13,37518,10.42,0,,,,,230800,64.11,7,61,193283,53.69,42,4.8197,,,,,,,,,,,,,,,,
221,Margaery Tyrell,2,3,1,1,8,1,2,13,37522,10.42,1,6,60,179691,49.91,179691,49.91,5,48,142170,39.49,26,2.7083,Burned alive in a wildfire explosion in the Great Sept of Baelor,T29,Burns of multiple body regions,X97,"Assault by smoke, fire and flames",Y92.29,Other specified institution and public administrative area,1,1,1,,,,,,
222,Polliver,1,9,2,2,4,1,2,13,39701,11.03,1,4,31,94709,26.31,94709,26.31,3,19,55009,15.28,3,0.4737,Stabbed in the throat by Arya Stark inside a tavern,S11,Open wound of neck,X99.0,Assault by knife,Y92.5,Trade and service area,1,1,1,,,,,,
223,Amory Lorch,1,9,2,2,4,1,2,13,39702,11.03,1,2,18,53806,14.95,53806,14.95,1,6,14105,3.92,4,0.6667,Killed by dart tipped with poison (Wolfsbane) by Jaqen H'ghar at Harrenhal caste grounds,T65,Toxic effect of other and unspecified substances,X85,"Assault by drugs, medicaments and biological substances",Y92.0,Home,2,1,1,,,,,,
224,Rennick,1,9,2,2,4,1,2,14,39965,11.10,1,2,14,40071,11.13,40071,11.13,1,1,107,0.03,1,1.0000,Mauled by a direwolf in a field near Oxcross,T14,Injury of unspecified body region,W55,Bitten or struck by other mammal,Y92.86,Other specified countryside,2,1,2,,,,,,
225,Roose Bolton,1,4,1,1,6,2,2,14,40094,11.14,1,6,52,156361,43.43,156361,43.43,5,39,116268,32.30,19,2.4359,Stabbed in the chest by his son Ramsay Bolton at Winterfell,S21,Open wound of chest,X99.0,Assault by knife,Y92.0,Home,1,1,1,,,,,,
226,Talisa Maegyr,2,9,1,2,1,1,2,14,40146,11.15,1,3,29,87976,24.44,87976,24.44,2,16,47831,13.29,11,1.3750,Stabbed repeatedly in the stomach by Lothar Frey in the wedding hall at The Twins,S31,"Open wound of abdomen, lower back and pelvis",X99.0,Assault by knife,Y92.0,Home,1,1,2,,,,,,
227,Tickler,1,9,2,2,8,1,2,14,41443,11.51,1,2,15,45661,12.68,45661,12.68,1,2,4219,1.17,2,1.0000,Thrown from a castle wall by Jaqen H'ghar at Harrenhal (broken neck),S12,Fracture of neck,Y01,Assault by pushing from high place,Y92.0,Home,2,1,1,,,,,,
228,Silk King,1,9,1,2,8,1,2,14,41715,11.59,1,2,17,51045,14.18,51045,14.18,1,4,9331,2.59,3,0.7500,Throat slit by Pyat Pree in the ruling council chamber in Qarth,S11,Open wound of neck,X99.0,Assault by knife,Y92.29,Other specified institution and public administrative area,1,2,1,,,,,,
229,Spice King,1,9,1,2,8,1,2,14,41715,11.59,1,2,17,51045,14.18,51045,14.18,1,4,9331,2.59,3,0.7500,Throat slit by Pyat Pree in the ruling council chamber in Qarth,S11,Open wound of neck,X99.0,Assault by knife,Y92.29,Other specified institution and public administrative area,1,2,1,,,,,,
230,Xaro Xhoan Daxos,1,9,1,2,8,1,2,14,41715,11.59,1,2,20,60783,16.88,60783,16.88,1,7,19069,5.30,5,0.7143,Locked inside his vault in Qarth and left to die with Doreah,T74,Maltreatment syndromes,Y07,Other maltreatment syndromes,Y92.0,Home,1,2,1,,,,,,
231,Pyat Pree,1,9,1,2,8,1,2,14,41715,11.59,1,2,20,60424,16.78,60424,16.78,1,7,18710,5.20,4,0.5714,Burned alive by Daenerys Targaryen's dragons in the House of the Undying in Qarth,T29,Burns of multiple body regions,X97,"Assault by smoke, fire and flames",Y92.88,Other specified place of occurrence,1,2,1,,,,,,
232,Lorren,1,5,2,2,5,1,2,15,43583,12.11,1,2,20,60924,16.92,60924,16.92,1,6,17342,4.82,4,0.6667,Flayed alive by Ramsay Snow,T01,Open wounds involving multiple body regions,X99.0,Assault by knife,Y92.9,Unspecified place of occurrence,9,1,9,,,,,,
233,Dagmer Cleftjaw,1,5,2,2,5,1,2,15,43686,12.14,1,2,20,60924,16.92,60924,16.92,1,6,17239,4.79,5,0.8333,Flayed alive by Ramsay Snow,T01,Open wounds involving multiple body regions,X99.0,Assault by knife,Y92.9,Unspecified place of occurrence,9,1,9,,,,,,
234,Reginald Lannister,1,3,2,2,8,1,2,15,43767,12.16,0,,,,,230800,64.11,7,59,187034,51.95,1,0.1186,,,,,,,,,,,,,,,,
235,Hallyne,1,9,2,2,4,2,2,15,44257,12.29,0,,,,,230800,64.11,7,59,186544,51.82,2,0.2373,,,,,,,,,,,,,,,,
236,Malakho,1,1,2,2,2,2,2,15,44563,12.38,0,,,,,230800,64.11,7,59,186238,51.73,6,0.7119,,,,,,,,,,,,,,,,
237,Quaithe,2,9,2,2,9,1,2,15,44703,12.42,0,,,,,230800,64.11,7,59,186098,51.69,2,0.2373,,,,,,,,,,,,,,,,
238,Qhorin Halfhand,1,9,2,2,3,1,2,15,45247,12.57,1,2,20,60552,16.82,60552,16.82,1,6,15306,4.25,4,0.6667,Stabbed in the torso by Jon Snow in the mountains beyond The Wall,S21,Open wound of chest,X99.0,Assault by knife,Y92.86,Other specified countryside,2,1,1,,,,,,
239,Farlen,1,9,2,2,1,1,2,16,45836,12.73,1,2,20,61044,16.96,61044,16.96,1,5,15209,4.22,2,0.4000,Killed during the Sack of Winterfell,T14,Injury of unspecified body region,Y36.4,War operations involving firearm discharge and other forms of conventional warfare,Y92.0,Home,9,1,9,,,,,,
240,Palla,2,9,9,2,1,1,2,16,45836,12.73,1,2,20,61044,16.96,61044,16.96,1,5,15209,4.22,3,0.6000,Killed during the Sack of Winterfell,T14,Injury of unspecified body region,Y36.4,War operations involving firearm discharge and other forms of conventional warfare,Y92.0,Home,9,1,9,,,,,,
241,Ygritte,2,9,2,2,8,1,2,16,46634,12.95,1,4,39,117538,32.65,117538,32.65,3,24,70905,19.70,16,2.0000,Shot in the chest with an arrow by Olly at Castle Black,S21,Open wound of chest,Y36.4,War operations involving firearm discharge and other forms of conventional warfare,Y92.12,Military camp,2,1,2,,,,,,
242,Quent,1,9,2,2,1,1,2,16,47875,13.30,1,3,29,88000,24.44,88000,24.44,2,14,40126,11.15,2,0.2857,Presumed killed prior to or during the Red Wedding at The Twins,T14,Injury of unspecified body region,Y09,Assault by unspecified means,Y92.9,Unspecified place of occurrence,9,1,9,,,,,,
243,Drennan,1,5,2,2,5,1,2,16,48484,13.47,1,2,18,54466,15.13,54466,15.13,1,3,5983,1.66,2,0.6667,Throat slit by Osha at Winterfell castle grounds,S11,Open wound of neck,X99.0,Assault by knife,Y92.0,Home,2,1,2,,,,,,
244,Jacks,1,4,2,2,1,1,2,16,48539,13.48,1,3,29,88000,24.44,88000,24.44,2,14,39462,10.96,2,0.2857,Presumed killed prior to or during the Red Wedding at The Twins,T14,Injury of unspecified body region,Y09,Assault by unspecified means,Y92.9,Unspecified place of occurrence,9,1,9,,,,,,
245,Torrhen Karstark,1,9,2,1,1,1,2,17,49638,13.79,1,2,17,50850,14.13,50850,14.13,1,1,1213,0.34,1,1.0000,Strangled to death by Jamie Lannister at a campsite near Oxcross,T71,Asphyxiation,Y36.4,War operations involving firearm discharge and other forms of conventional warfare,Y92.86,Other specified countryside,2,1,2,,,,,,
246,Bernadette,2,9,2,2,4,1,2,17,50236,13.95,0,,,,,230800,64.11,7,57,180565,50.16,6,0.7368,,,,,,,,,,,,,,,,
247,Lord of Bones,1,9,2,2,8,1,2,18,51919,14.42,1,5,48,144373,40.10,144373,40.10,4,31,92455,25.68,4,0.5161,Beaten to death with his own staff by Tormund at the shore of Hardhome,T01,Open wounds involving multiple body regions,Y00,Assault by blunt object,Y92.83,Beach,2,1,1,,,,,,
248,Aggar,1,5,2,1,5,1,2,20,58994,16.39,1,2,20,60924,16.92,60924,16.92,1,1,1931,0.54,1,1.0000,Flayed alive by Ramsay Snow,T01,Open wounds involving multiple body regions,X99.0,Assault by knife,Y92.9,Unspecified place of occurrence,9,1,9,,,,,,
249,Gelmarr,1,5,2,2,5,1,2,20,58994,16.39,1,2,20,60924,16.92,60924,16.92,1,1,1931,0.54,1,1.0000,Flayed alive by Ramsay Snow,T01,Open wounds involving multiple body regions,X99.0,Assault by knife,Y92.9,Unspecified place of occurrence,9,1,9,,,,,,
250,Urzen,1,5,2,2,5,1,2,20,58994,16.39,1,2,20,60924,16.92,60924,16.92,1,1,1931,0.54,1,1.0000,Flayed alive by Ramsay Snow at Winterfell,T01,Open wounds involving multiple body regions,X99.0,Assault by knife,Y92.0,Home,9,1,9,,,,,,
251,Wex,1,5,2,2,5,1,2,20,58994,16.39,1,2,20,61014,16.95,61014,16.95,1,1,2021,0.56,1,1.0000,Flayed alive by Ramsay Snow at Winterfell,T01,Open wounds involving multiple body regions,X99.0,Assault by knife,Y92.0,Home,9,1,9,,,,,,
252,Stygg,1,5,2,2,5,1,2,20,58994,16.39,1,2,20,61014,16.95,61014,16.95,1,1,2021,0.56,1,1.0000,Flayed alive by Ramsay Snow,T01,Open wounds involving multiple body regions,X99.0,Assault by knife,Y92.9,Unspecified place of occurrence,9,1,9,,,,,,
253,Tormund Giantsbane,1,9,2,2,8,2,3,21,61428,17.06,0,,,,,230800,64.11,6,53,169373,47.05,33,3.7358,,,,,,,,,,,,,,,,
254,Mance Rayder,1,9,2,2,8,1,3,21,61429,17.06,1,5,41,124324,34.53,124324,34.53,3,21,62896,17.47,5,0.7143,Shot with an arrow in chest by Jon Snow before being burned alive at Castle Black (mercy killing),S21,Open wound of chest,X99.8,Assault by other specified sharp object,Y92.12,Military camp,2,1,2,,,,,,
255,Qyburn,1,9,1,1,4,2,3,21,62496,17.36,1,8,72,225160,62.54,225160,62.54,6,52,162665,45.18,22,2.5385,Head smashed on a rock by Gregor Clegane during the Battle of King's Landing,S06,Intracranial injury,Y04,Assault by bodily force,Y92.0,Home,1,1,1,,,,,,
256,Missandei,2,9,2,2,2,2,3,21,63635,17.68,1,8,71,221759,61.60,221759,61.60,6,51,158125,43.92,38,4.4706,Decapitated by Gregor Clegane on the orders of Cersei Lannister,S18,Traumatic amputation at neck level,X99.0,Assault by knife,Y92.12,Military camp,2,1,1,,,,,,
257,Kranzys mo Nakloz,1,9,1,1,8,1,3,21,63635,17.68,1,3,24,72821,20.23,72821,20.23,1,4,9187,2.55,3,0.7500,Burnt to death by dragon at plaza at Astapor,T29,Burns of multiple body regions,X97,"Assault by smoke, fire and flames",Y92.88,Other specified place of occurrence,2,2,1,,,,,,
258,Jojen Reed,1,4,9,1,1,1,3,22,64113,17.81,1,4,40,119918,33.31,119918,33.31,2,19,55806,15.50,10,1.0526,Stabbed multiple times by a wight and throat cut by his sister Meera Reed (mercy killing) outside the cave of the Three-Eyed Raven beyond The Wall,S11,Open wound of neck,X99.0,Assault by knife,Y92.86,Other specified countryside,2,1,1,,,,,,
259,Master Torturer,1,9,2,2,6,1,3,22,64302,17.86,1,3,23,69679,19.36,69679,19.36,1,2,5378,1.49,2,1.0000,Shot with arrows in chest by Ramsay Snow in the forest near the Dreadfort,S21,Open wound of chest,X99.8,Assault by other specified sharp object,Y92.84,Forest,2,1,1,,,,,,
260,Orell,1,9,2,2,8,1,3,22,65373,18.16,1,3,29,86742,24.10,86742,24.10,1,8,21370,5.94,6,0.7500,Stabbed by Jon Snow in the abdomen outside the old tower at Queenscrown,S31,"Open wound of abdomen, lower back and pelvis",X99.0,Assault by knife,Y92.88,Other specified place of occurrence,2,1,1,,,,,,
261,Meera Reed,2,4,9,1,1,1,3,22,65656,18.24,0,,,,,230800,64.11,6,52,165145,45.87,16,1.8462,,,,,,,,,,,,,,,,
262,Thoros of Myr,1,2,1,2,8,2,3,22,65788,18.27,1,6,66,200318,55.64,200318,55.64,4,45,134531,37.37,10,0.8889,"Mauled by a wight bear, then froze to death during the night next to frozen lake in the mountains beyond The Wall",T01,Open wounds involving multiple body regions,W55,Bitten or struck by other mammal,Y92.83,Beach,2,1,2,,,,,,
263,Anguy,1,2,2,2,8,1,3,22,65788,18.27,0,,,,,230800,64.11,6,52,165013,45.84,6,0.6923,,,,,,,,,,,,,,,,
264,Ramsay Bolton,1,4,1,2,6,1,3,22,66534,18.48,1,6,59,178774,49.66,178774,49.66,4,38,112241,31.18,20,2.1053,Executed by being fed to his own dogs by Sansa Stark in the kennel at Winterfell,T01,Open wounds involving multiple body regions,W54,Bitten or struck by dog,Y92.0,Home,1,1,2,,,,,,
265,Locke,1,9,2,2,6,1,3,22,67097,18.64,1,4,35,106289,29.52,106289,29.52,2,14,39193,10.89,8,1.1429,Neck broken by Bran Stark who had warged into Hodor in the forest near Craster's Keep,S12,Fracture of neck,Y04,Assault by bodily force,Y92.84,Forest,2,1,2,,,,,,
266,Brynden Tully,1,9,2,1,8,1,3,23,67185,18.66,1,6,58,174632,48.51,174632,48.51,4,36,107448,29.85,7,0.7778,Killed while fighting Lannister and Frey soldiers,T14,Injury of unspecified body region,Y36.4,War operations involving firearm discharge and other forms of conventional warfare,Y92.9,Unspecified place of occurrence,9,1,2,,,,,,
267,Edmure Tully,1,9,2,1,1,2,3,23,67192,18.66,0,,,,,230800,64.11,6,51,163609,45.45,9,1.0588,,,,,,,,,,,,,,,,
268,Olenna Tyrell,2,9,1,1,2,2,3,23,67901,18.86,1,7,63,192367,53.44,192367,53.44,5,41,124467,34.57,18,2.1951,Drank poison provided by Jaime Lannister at Highgarden,T65,Toxic effect of other and unspecified substances,X64,"Intentional self-poisoning by and exposure to other unspecified drugs, medicaments and biological substances",Y92.0,Home,1,1,1,,,,,,
269,Martyn Lannister,1,9,2,1,4,1,3,23,68092,18.91,1,3,25,74090,20.58,74090,20.58,1,3,5999,1.67,2,0.6667,Stabbed in the thorax by Rickard Karstark at Riverrun,S21,Open wound of chest,X99.0,Assault by knife,Y92.0,Home,1,1,1,,,,,,
270,Willem Lannister,1,9,2,1,4,1,3,23,68092,18.91,1,3,25,74097,20.58,74097,20.58,1,3,6006,1.67,2,0.6667,Stabbed to death by Rickard Karstark and his men at Riverrun,S21,Open wound of chest,X99.0,Assault by knife,Y92.0,Home,1,1,1,,,,,,
271,Karl Tanner,1,9,2,2,3,1,3,23,68288,18.97,1,4,35,106481,29.58,106481,29.58,2,13,38194,10.61,4,0.6154,Impaled through the back of the head with sword by Jon Snow at Craster's Keep,S06,Intracranial injury,X99.0,Assault by knife,Y92.0,Home,1,1,2,,,,,,
272,Little Sam,1,9,9,2,8,1,3,23,68508,19.03,0,,,,,230800,64.11,6,51,162293,45.08,17,2.0000,,,,,,,,,,,,,,,,
273,Greizhen mo Ullhor,1,9,1,2,8,1,3,23,68865,19.13,1,3,24,72979,20.27,72979,20.27,1,2,4115,1.14,2,1.0000,Killed by the Unsullied on the orders of Daenerys Targaryen at plaza at Astapor,T14,Injury of unspecified body region,X99.0,Assault by knife,Y92.88,Other specified place of occurrence,2,2,1,,,,,,
274,Genna ,2,9,2,2,8,1,3,23,69274,19.24,0,,,,,230800,64.11,6,51,161527,44.87,1,0.1176,,,,,,,,,,,,,,,,
275,Kayla,2,9,2,2,8,1,3,23,69310,19.25,0,,,,,230800,64.11,6,51,161491,44.86,2,0.2353,,,,,,,,,,,,,,,,
276,Shireen Baratheon,2,9,9,1,8,1,3,25,74756,20.77,1,5,49,147643,41.01,147643,41.01,3,25,72888,20.25,10,1.2000,Burned alive by Melisandre as a sacrifice in field near Winterfell,T29,Burns of multiple body regions,X97,"Assault by smoke, fire and flames",Y92.86,Other specified countryside,2,1,1,,,,,,
277,Grey Worm,1,9,2,2,2,1,3,25,75448,20.96,0,,,,,230800,64.11,6,49,155353,43.15,34,4.1633,,,,,,,,,,,,,,,,
278,Olyvar,1,9,2,2,8,1,3,25,75752,21.04,0,,,,,230800,64.11,6,49,155049,43.07,7,0.8571,,,,,,,,,,,,,,,,
279,Walder Rivers,1,9,2,1,7,1,3,26,77694,21.58,1,6,60,181411,50.39,181411,50.39,4,35,103718,28.81,6,0.6857,Killed and carved into a pie by Arya Stark at The Twins,T14,Injury of unspecified body region,Y09,Assault by unspecified means,Y92.0,Home,9,1,9,,,,,,
280,Lothar Frey,1,9,2,1,7,1,3,26,77694,21.58,1,6,60,181411,50.39,181411,50.39,4,35,103718,28.81,6,0.6857,Killed and carved into a pie by Arya Stark at The Twins,T14,Injury of unspecified body region,Y09,Assault by unspecified means,Y92.0,Home,9,1,9,,,,,,
281,Razdal mo Eraz,1,7,1,1,8,1,3,27,80167,22.27,1,6,59,176028,48.90,176028,48.90,4,33,95862,26.63,3,0.3636,Throat slit with a knife by Grey Worm at the cliffs of Meereen,S11,Open wound of neck,Y36.4,War operations involving firearm discharge and other forms of conventional warfare,Y92.88,Other specified place of occurrence,2,2,1,,,,,,
282,Violet,2,9,2,2,6,1,3,27,80979,22.49,1,3,27,81997,22.78,81997,22.78,1,1,1019,0.28,1,1.0000,Killed by Ramsay Bolton at Winterfell (not shown),T14,Injury of unspecified body region,Y09,Assault by unspecified means,Y92.0,Home,9,1,9,,,,,,
283,Myranda,2,3,9,2,6,1,3,27,80979,22.49,1,5,50,149651,41.57,149651,41.57,3,24,68673,19.08,8,1.0000,Thrown from a rampart by Theon Greyjoy at Winterfell castle grounds,S06,Intracranial injury,Y01,Assault by pushing from high place,Y92.0,Home,2,1,1,,,,,,
284,Steelshanks,1,9,2,2,6,1,3,27,81779,22.72,1,6,59,178657,49.63,178657,49.63,4,33,96879,26.91,4,0.4848,Presumed killed prior to or during the Battle of Bastards,T14,Injury of unspecified body region,Y36.4,War operations involving firearm discharge and other forms of conventional warfare,Y92.9,Unspecified place of occurrence,9,1,9,,,,,,
285,Prendahl na Ghezn,1,9,2,2,8,1,3,28,82475,22.91,1,3,28,84757,23.54,84757,23.54,1,1,2283,0.63,1,1.0000,Beheaded by Daario Naharis at Yunkai,S18,Traumatic amputation at neck level,X99.0,Assault by knife,Y92.9,Unspecified place of occurrence,9,2,9,,,,,,
286,Mero,1,9,2,2,8,1,3,28,82475,22.91,1,3,28,84757,23.54,84757,23.54,1,1,2283,0.63,1,1.0000,Beheaded by Daario Naharis at Yunkai,S18,Traumatic amputation at neck level,X99.0,Assault by knife,Y92.9,Unspecified place of occurrence,9,2,9,,,,,,
287,Daario Naharis,1,9,2,2,2,2,3,28,82475,22.91,0,,,,,230800,64.11,6,46,148326,41.20,21,2.7391,,,,,,,,,,,,,,,,
288,High Septon 2,1,3,1,2,8,1,3,28,83486,23.19,0,,,,,230800,64.11,6,46,147315,40.92,6,0.7826,,,,,,,,,,,,,,,,
289,Walda Frey/Bolton,2,9,9,2,6,1,3,29,85480,23.74,1,6,52,156597,43.50,156597,43.50,4,24,71118,19.76,5,0.8333,Mauled to death by Ramsay Bolton's hunting dogs in the Winterfell kennel,T01,Open wounds involving multiple body regions,W54,Bitten or struck by dog,Y92.0,Home,1,1,1,,,,,,
290,Freya Frey,2,9,9,1,7,1,3,29,85480,23.74,0,,,,,230800,64.11,6,45,145321,40.37,1,0.1333,,,,,,,,,,,,,,,,
291,Derwa Frey,2,9,9,1,7,1,3,29,85480,23.74,0,,,,,230800,64.11,6,45,145321,40.37,1,0.1333,,,,,,,,,,,,,,,,
292,Janeya Frey ,2,9,9,1,7,1,3,29,85480,23.74,0,,,,,230800,64.11,6,45,145321,40.37,1,0.1333,,,,,,,,,,,,,,,,
293,Marianne Frey,2,9,9,1,7,1,3,29,85480,23.74,0,,,,,230800,64.11,6,45,145321,40.37,3,0.4000,,,,,,,,,,,,,,,,
294,Merry Frey,2,9,9,1,7,1,3,29,85480,23.74,0,,,,,230800,64.11,6,45,145321,40.37,3,0.4000,,,,,,,,,,,,,,,,
295,Neyela Frey,2,9,9,1,7,1,3,29,85480,23.74,0,,,,,230800,64.11,6,45,145321,40.37,1,0.1333,,,,,,,,,,,,,,,,
296,Sarra Frey,2,9,9,1,7,1,3,29,85480,23.74,0,,,,,230800,64.11,6,45,145321,40.37,1,0.1333,,,,,,,,,,,,,,,,
297,Shirei Frey,2,9,9,1,7,1,3,29,85480,23.74,0,,,,,230800,64.11,6,45,145321,40.37,1,0.1333,,,,,,,,,,,,,,,,
298,Waldra Frey,2,9,9,1,7,1,3,29,85480,23.74,0,,,,,230800,64.11,6,45,145321,40.37,1,0.1333,,,,,,,,,,,,,,,,
299,Roslin Frey,2,9,9,1,7,1,3,29,86939,24.15,0,,,,,230800,64.11,6,45,143862,39.96,1,0.1333,,,,,,,,,,,,,,,,
300,Oberyn Martell,1,3,1,1,8,1,4,31,92010,25.56,1,4,38,115113,31.98,115113,31.98,1,8,23104,6.42,7,0.8750,Skull crushed by Gregor Clegane in Tyrion's (second) trial by combat in a fighting pit at King's Landing,S07,Crushing injury of the head,Y04,Assault by bodily force,Y92.88,Other specified place of occurrence,2,1,1,,,,,,
301,Ellaria Sand,2,9,9,2,8,1,4,31,92032,25.56,0,,,,,230800,64.11,5,43,138769,38.55,13,1.5116,,,,,,,,,,,,,,,,
302,Styr,1,4,2,2,8,1,4,31,93162,25.88,1,4,39,117459,32.63,117459,32.63,1,9,24298,6.75,4,0.4444,Bludgeoned in the head with a forging hammer by Jon Snow at Castle Black,S06,Intracranial injury,Y36.4,War operations involving firearm discharge and other forms of conventional warfare,Y92.12,Military camp,2,1,2,,,,,,
303,Thenn warg,1,4,2,2,8,1,4,31,93187,25.89,1,4,39,117459,32.63,117459,32.63,1,9,24273,6.74,3,0.3333,Shot in the head by Samwell Tarly with a crossbow at Castle Black,S06,Intracranial injury,Y36.4,War operations involving firearm discharge and other forms of conventional warfare,Y92.12,Military camp,2,1,2,,,,,,
304,Tansy,2,9,2,2,6,1,4,32,94791,26.33,1,4,32,94903,26.36,94903,26.36,1,1,113,0.03,1,1.0000,Mauled to death by Ramsay Bolton's hunting dogs in the forest near the Dreadfort,T01,Open wounds involving multiple body regions,W54,Bitten or struck by dog,Y92.84,Forest,2,1,1,,,,,,
305,Mace Tyrell,1,9,1,1,4,1,4,32,95513,26.53,1,6,60,179691,49.91,179691,49.91,3,29,84179,23.38,13,1.3448,Burned alive in a wildfire explosion in the Great Sept of Baelor,T29,Burns of multiple body regions,X97,"Assault by smoke, fire and flames",Y92.29,Other specified institution and public administrative area,1,1,1,,,,,,
306,Axell Florent,1,3,1,1,8,1,4,32,95797,26.61,1,4,32,95812,26.61,95812,26.61,1,1,16,0.00,1,1.0000,Burned at the stake by Melisandre at the beach at Dragonstone,T29,Burns of multiple body regions,X97,"Assault by smoke, fire and flames",Y92.83,Beach,2,1,2,,,,,,
